,DATE,House_price,Population,GDP,CPI,Interest,Income,Unemployment,Saving,Covid
0,2010-01-01,147.395,308706.0,15399.668,91.42255619,0.11,11644.6,9.8,5.9,0
1,2010-02-01,145.631,308904.0,15435.796,91.44533936,0.126428571,11655.6,9.8,5.6,0
2,2010-03-01,145.859,309095.0,15532.733,91.82083986,0.164516129,11702.1,9.9,5.6,0
3,2010-04-01,146.399,309289.0,15593.137,91.98032209,0.198333333,11799.8,9.9,6.2,0
4,2010-05-01,146.389,309485.0,15574.485,92.05162499,0.200645161,11887.9,9.6,6.7,0
5,2010-06-01,145.717,309691.0,15649.513,91.96175802,0.176666667,11895.0,9.4,6.5,0
6,2010-07-01,144.986,309913.0,15721.032,91.98116591,0.182580645,11910.8,9.4,6.4,0
7,2010-08-01,143.911,310146.0,15690.744,92.10816102,0.189354839,11949.7,9.5,6.5,0
8,2010-09-01,143.014,310385.0,15767.223,92.16174367,0.194666667,11949.4,9.5,6.5,0
9,2010-10-01,142.525,310612.0,15807.805,92.27650337,0.191290323,11950.4,9.4,6.3,0
10,2010-11-01,142.169,310820.0,15761.315,92.31531915,0.194333333,11960.5,9.8,6.1,0
11,2010-12-01,142.06,311020.0,15854.991,92.47395756,0.183225806,12030.1,9.3,6.5,0
12,2011-01-01,141.524,311204.0,15713.814,92.9144323,0.168387097,12084.4,9.1,6.9,0
13,2011-02-01,140.353,311373.0,15692.267,93.37262728,0.156785714,12117.0,9.0,7.2,0
14,2011-03-01,139.985,311551.0,15903.61,94.28311049,0.138709677,12083.3,9.0,6.6,0
15,2011-04-01,140.01,311740.0,15940.222,94.89023994,0.098,12061.3,9.1,6.6,0
16,2011-05-01,139.902,311935.0,15869.884,95.33662142,0.093870968,12043.2,9.0,6.5,0
17,2011-06-01,139.858,312147.0,15820.542,95.23451904,0.092,12087.9,9.1,6.7,0
18,2011-07-01,139.727,312372.0,15862.161,95.31890118,0.070967742,12128.6,9.0,6.9,0
19,2011-08-01,139.306,312605.0,15935.328,95.58175152,0.095806452,12120.6,9.0,6.9,0
20,2011-09-01,138.666,312842.0,15814.734,95.72688879,0.084,12104.0,9.0,6.5,0
21,2011-10-01,137.952,313060.0,16079.978,95.5294346,0.070645161,12117.0,8.8,6.5,0
22,2011-11-01,137.153,313260.0,16034.69,95.44884966,0.081,12112.6,8.6,6.6,0
23,2011-12-01,136.674,313454.0,16031.657,95.21342351,0.071612903,12227.3,8.5,7.5,0
24,2012-01-01,136.606,313636.0,16081.252,95.6323808,0.081935484,12311.1,8.3,7.8,0
25,2012-02-01,136.528,313811.0,16317.769,96.05344764,0.103793103,12384.8,8.3,7.8,0
26,2012-03-01,137.902,313993.0,16140.774,96.78293118,0.126774194,12431.1,8.2,8.2,0
27,2012-04-01,139.156,314176.0,16236.023,97.07531527,0.139333333,12486.5,8.2,8.5,0
28,2012-05-01,140.157,314368.0,16274.604,96.96139939,0.155806452,12490.2,8.2,8.6,0
29,2012-06-01,141.029,314576.0,16250.518,96.8192155,0.161666667,12482.6,8.2,8.6,0
30,2012-07-01,141.667,314796.0,16323.254,96.66142091,0.156451613,12396.5,8.2,7.8,0
31,2012-08-01,142.276,315031.0,16236.443,97.19935701,0.132258065,12364.4,8.1,7.6,0
32,2012-09-01,142.906,315264.0,16286.782,97.63308117,0.144333333,12453.3,7.8,8.1,0
33,2012-10-01,143.6,315485.0,16215.723,97.59510921,0.158387097,12538.2,7.8,8.7,0
34,2012-11-01,144.585,315692.0,16294.791,97.13269512,0.160666667,12702.9,7.7,9.5,0
35,2012-12-01,145.502,315877.0,16389.708,96.87111051,0.164516129,13011.6,7.9,11.6,0
36,2013-01-01,146.835,316038.0,16515.223,97.15758785,0.142580645,12258.9,8.0,5.9,0
37,2013-02-01,147.781,316191.0,16372.146,97.95331137,0.145,12224.9,7.7,5.6,0
38,2013-03-01,149.963,316357.0,16437.369,98.20941114,0.143548387,12262.1,7.5,5.9,0
39,2013-04-01,151.519,316535.0,16448.826,98.10730876,0.145,12299.0,7.6,6.2,0
40,2013-05-01,152.852,316729.0,16421.732,98.28197977,0.109032258,12358.6,7.5,6.4,0
41,2013-06-01,154.197,316934.0,16522.918,98.51782784,0.093666667,12361.7,7.5,6.5,0
42,2013-07-01,155.606,317156.0,16555.392,98.55664362,0.092580645,12350.6,7.3,6.3,0
43,2013-08-01,156.972,317397.0,16618.4,98.67520051,0.082903226,12379.6,7.2,6.4,0
44,2013-09-01,158.232,317635.0,16610.72,98.78996021,0.08,12431.5,7.2,6.5,0
45,2013-10-01,159.243,317864.0,16678.451,98.53554808,0.087096774,12395.1,7.2,6.0,0
46,2013-11-01,160.072,318076.0,16751.252,98.3342967,0.084333333,12426.2,6.9,5.8,0
47,2013-12-01,160.993,318276.0,16708.876,98.32585848,0.08516129,12452.7,6.7,6.0,0
48,2014-01-01,161.945,318464.0,16605.914,98.69165503,0.071612903,12513.3,6.6,6.7,0
49,2014-02-01,162.529,318642.0,16678.143,99.05660775,0.066428571,12579.5,6.7,6.6,0
50,2014-03-01,163.092,318827.0,16679.043,99.69453668,0.078064516,12648.6,6.7,6.7,0
51,2014-04-01,163.4,319020.0,16803.023,100.0232051,0.090333333,12699.0,6.2,6.9,0
52,2014-05-01,163.666,319225.0,16865.137,100.3725471,0.087096774,12745.0,6.3,7.1,0
53,2014-06-01,164.05,319438.0,16936.556,100.5594535,0.095666667,12797.2,6.1,7.1,0
54,2014-07-01,164.574,319670.0,17026.621,100.5202158,0.090967742,12835.1,6.2,7.2,0
55,2014-08-01,165.216,319919.0,17116.849,100.3522954,0.088064516,12896.3,6.1,7.0,0
56,2014-09-01,165.906,320166.0,17050.775,100.4278174,0.088333333,12938.8,5.9,7.2,0
57,2014-10-01,166.643,320403.0,17143.351,100.1755148,0.089032258,12995.3,5.7,7.1,0
58,2014-11-01,167.335,320616.0,17154.428,99.63462536,0.092,13062.8,5.8,7.3,0
59,2014-12-01,168.053,320815.0,17126.275,99.06968698,0.122580645,13150.5,5.6,7.7,0
60,2015-01-01,168.661,320997.0,17276.208,98.6034757,0.11483871,13224.7,5.7,8.0,0
61,2015-02-01,169.137,321164.0,17352.97,99.03171502,0.110714286,13271.8,5.5,8.1,0
62,2015-03-01,169.812,321344.0,17212.916,99.62112422,0.112903226,13233.7,5.4,7.7,0
63,2015-04-01,170.311,321538.0,17398.202,99.82364134,0.124666667,13262.8,5.4,7.6,0
64,2015-05-01,170.891,321740.0,17347.772,100.3324656,0.123225806,13284.7,5.6,7.5,0
65,2015-06-01,171.454,321954.0,17396.865,100.6839172,0.129,13292.7,5.3,7.4,0
66,2015-07-01,172.132,322186.0,17404.699,100.6906678,0.130322581,13324.1,5.2,7.3,0
67,2015-08-01,172.947,322427.0,17409.168,100.548062,0.138064516,13354.9,5.1,7.3,0
68,2015-09-01,173.84,322670.0,17497.7,100.3915331,0.136,13392.0,5.0,7.4,0
69,2015-10-01,174.801,322901.0,17486.219,100.3463887,0.123548387,13419.8,5.0,7.5,0
70,2015-11-01,175.744,323113.0,17425.752,100.1345895,0.117666667,13417.7,5.1,7.3,0
71,2015-12-01,176.549,323318.0,17476.083,99.79241995,0.240645161,13482.0,5.0,7.4,0
72,2016-01-01,177.298,323509.0,17546.81,99.95738702,0.342903226,13531.6,4.8,7.7,0
73,2016-02-01,177.663,323687.0,17518.621,100.0396596,0.375172414,13546.1,4.9,7.2,0
74,2016-03-01,178.192,323871.0,17631.29,100.4704304,0.362258065,13547.2,5.0,7.6,0
75,2016-04-01,178.799,324061.0,17638.21,100.9467675,0.365333333,13522.0,5.1,7.2,0
76,2016-05-01,179.457,324260.0,17586.67,101.3551771,0.36516129,13515.1,4.8,6.9,0
77,2016-06-01,180.083,324476.0,17630.982,101.6880646,0.377666667,13521.5,4.9,6.6,0
78,2016-07-01,180.846,324697.0,17629.349,101.5235194,0.391612903,13567.1,4.8,6.8,0
79,2016-08-01,181.874,324924.0,17739.47,101.6167617,0.396774194,13578.9,4.9,6.8,0
80,2016-09-01,182.841,325155.0,17804.505,101.8610479,0.396333333,13608.3,5.0,6.8,0
81,2016-10-01,183.749,325368.0,17739.119,101.9880431,0.396451613,13627.7,4.9,6.9,0
82,2016-11-01,184.733,325562.0,17833.484,101.8294046,0.406666667,13657.8,4.7,7.0,0
83,2016-12-01,185.681,325742.0,17864.995,101.8627356,0.54,13685.3,4.7,6.5,0
84,2017-01-01,186.79,325901.0,17859.352,102.4563639,0.649677419,13742.1,4.7,6.9,0
85,2017-02-01,187.312,326050.0,17880.48,102.7787036,0.656785714,13792.3,4.6,7.2,0
86,2017-03-01,188.044,326207.0,17950.132,102.8622419,0.786129032,13851.3,4.4,7.2,0
87,2017-04-01,188.815,326371.0,17899.746,103.1672834,0.896,13869.6,4.4,7.2,0
88,2017-05-01,189.702,326548.0,18003.849,103.2554627,0.907419355,13962.6,4.4,7.8,0
89,2017-06-01,190.552,326743.0,18087.005,103.3491269,1.04,13963.5,4.3,7.5,0
90,2017-07-01,191.496,326939.0,18078.882,103.277824,1.150645161,13999.9,4.3,7.6,0
91,2017-08-01,192.743,327140.0,18107.478,103.5870845,1.157096774,14015.8,4.4,7.6,0
92,2017-09-01,193.796,327342.0,18192.488,104.1355683,1.153333333,14030.9,4.3,7.3,0
93,2017-10-01,194.776,327528.0,18193.62,104.0697503,1.153870968,14062.7,4.2,7.4,0
94,2017-11-01,195.851,327699.0,18329.251,104.0722817,1.157,14078.4,4.2,7.0,0
95,2017-12-01,197.027,327848.0,18367.383,104.0111047,1.301612903,14111.5,4.1,6.6,0
96,2018-01-01,198.194,327969.0,18396.589,104.5777307,1.414516129,14211.4,4.0,7.4,0
97,2018-02-01,199.183,328085.0,18489.917,105.0519583,1.4175,14250.1,4.1,7.6,0
98,2018-03-01,200.068,328219.0,18422.439,105.289494,1.506129032,14298.3,4.0,7.6,0
99,2018-04-01,200.88,328364.0,18546.254,105.7080294,1.692333333,14329.5,4.0,7.4,0
100,2018-05-01,201.648,328521.0,18596.475,106.1476603,1.7,14373.2,3.8,7.5,0
101,2018-06-01,202.381,328692.0,18627.44,106.3168465,1.819666667,14416.2,4.0,7.6,0
102,2018-07-01,203.014,328863.0,18632.428,106.324019,1.91,14467.0,3.8,7.6,0
103,2018-08-01,203.819,329040.0,18721.33,106.3830864,1.91483871,14509.6,3.8,7.6,0
104,2018-09-01,204.38,329216.0,18685.245,106.5067063,1.954666667,14498.8,3.7,7.6,0
105,2018-10-01,205.012,329379.0,18750.081,106.6948784,2.187741935,14527.7,3.8,7.4,0
106,2018-11-01,205.428,329527.0,18665.926,106.3375201,2.197666667,14550.4,3.8,7.2,0
107,2018-12-01,205.805,329659.0,18748.076,105.997882,2.274193548,14719.3,3.9,9.0,0
108,2019-01-01,206.224,329766.0,18846.479,106.1999772,2.4,14714.3,4.0,8.7,0
109,2019-02-01,206.727,329862.0,18821.436,106.6488902,2.4,14742.1,3.8,8.8,0
110,2019-03-01,207.267,329977.0,18831.817,107.2505348,2.40516129,14732.5,3.8,8.2,0
111,2019-04-01,207.954,330103.0,18910.829,107.8184265,2.423666667,14678.0,3.6,7.7,0
112,2019-05-01,208.587,330240.0,18961.23,108.0479459,2.390967742,14673.5,3.6,7.4,0
113,2019-06-01,208.988,330393.0,19075.596,108.0694634,2.377666667,14686.4,3.6,7.2,0
114,2019-07-01,209.51,330553.0,19092.355,108.2500411,2.402903226,14703.7,3.7,7.0,0
115,2019-08-01,210.294,330729.0,19109.722,108.2445563,2.125806452,14777.8,3.7,7.2,0
116,2019-09-01,210.935,330904.0,19135.983,108.3293603,2.043,14807.9,3.5,7.3,0
117,2019-10-01,211.59,331066.0,19164.608,108.5770219,1.829677419,14821.4,3.6,7.4,0
118,2019-11-01,212.387,331213.0,19219.903,108.5187982,1.553333333,14885.9,3.6,7.5,0
119,2019-12-01,213.312,331345.0,19222.565,108.4200711,1.550967742,14844.1,3.6,7.3,0
120,2020-01-01,214.392,331443.0,19221.98,108.8407161,1.550645161,14976.5,3.5,7.8,0
121,2020-02-01,215.575,331525.0,19353.71,109.1390069,1.583103448,15068.8,3.5,8.3,1
