DATE,DFF
2010-01-01,0.11
2010-02-01,0.126428571
2010-03-01,0.164516129
2010-04-01,0.198333333
2010-05-01,0.200645161
2010-06-01,0.176666667
2010-07-01,0.182580645
2010-08-01,0.189354839
2010-09-01,0.194666667
2010-10-01,0.191290323
2010-11-01,0.194333333
2010-12-01,0.183225806
2011-01-01,0.168387097
2011-02-01,0.156785714
2011-03-01,0.138709677
2011-04-01,0.098
2011-05-01,0.093870968
2011-06-01,0.092
2011-07-01,0.070967742
2011-08-01,0.095806452
2011-09-01,0.084
2011-10-01,0.070645161
2011-11-01,0.081
2011-12-01,0.071612903
2012-01-01,0.081935484
2012-02-01,0.103793103
2012-03-01,0.126774194
2012-04-01,0.139333333
2012-05-01,0.155806452
2012-06-01,0.161666667
2012-07-01,0.156451613
2012-08-01,0.132258065
2012-09-01,0.144333333
2012-10-01,0.158387097
2012-11-01,0.160666667
2012-12-01,0.164516129
2013-01-01,0.142580645
2013-02-01,0.145
2013-03-01,0.143548387
2013-04-01,0.145
2013-05-01,0.109032258
2013-06-01,0.093666667
2013-07-01,0.092580645
2013-08-01,0.082903226
2013-09-01,0.08
2013-10-01,0.087096774
2013-11-01,0.084333333
2013-12-01,0.08516129
2014-01-01,0.071612903
2014-02-01,0.066428571
2014-03-01,0.078064516
2014-04-01,0.090333333
2014-05-01,0.087096774
2014-06-01,0.095666667
2014-07-01,0.090967742
2014-08-01,0.088064516
2014-09-01,0.088333333
2014-10-01,0.089032258
2014-11-01,0.092
2014-12-01,0.122580645
2015-01-01,0.11483871
2015-02-01,0.110714286
2015-03-01,0.112903226
2015-04-01,0.124666667
2015-05-01,0.123225806
2015-06-01,0.129
2015-07-01,0.130322581
2015-08-01,0.138064516
2015-09-01,0.136
2015-10-01,0.123548387
2015-11-01,0.117666667
2015-12-01,0.240645161
2016-01-01,0.342903226
2016-02-01,0.375172414
2016-03-01,0.362258065
2016-04-01,0.365333333
2016-05-01,0.36516129
2016-06-01,0.377666667
2016-07-01,0.391612903
2016-08-01,0.396774194
2016-09-01,0.396333333
2016-10-01,0.396451613
2016-11-01,0.406666667
2016-12-01,0.54
2017-01-01,0.649677419
2017-02-01,0.656785714
2017-03-01,0.786129032
2017-04-01,0.896
2017-05-01,0.907419355
2017-06-01,1.04
2017-07-01,1.150645161
2017-08-01,1.157096774
2017-09-01,1.153333333
2017-10-01,1.153870968
2017-11-01,1.157
2017-12-01,1.301612903
2018-01-01,1.414516129
2018-02-01,1.4175
2018-03-01,1.506129032
2018-04-01,1.692333333
2018-05-01,1.7
2018-06-01,1.819666667
2018-07-01,1.91
2018-08-01,1.91483871
2018-09-01,1.954666667
2018-10-01,2.187741935
2018-11-01,2.197666667
2018-12-01,2.274193548
2019-01-01,2.4
2019-02-01,2.4
2019-03-01,2.40516129
2019-04-01,2.423666667
2019-05-01,2.390967742
2019-06-01,2.377666667
2019-07-01,2.402903226
2019-08-01,2.125806452
2019-09-01,2.043
2019-10-01,1.829677419
2019-11-01,1.553333333
2019-12-01,1.550967742
2020-01-01,1.550645161
2020-02-01,1.583103448
2020-03-01,0.652258065
2020-04-01,0.049
2020-05-01,0.05
2020-06-01,0.077666667
2020-07-01,0.092580645
2020-08-01,0.09516129
2020-09-01,0.09
2020-10-01,0.09
2020-11-01,0.086333333
2020-12-01,0.09
2021-01-01,0.08516129
2021-02-01,0.075714286
2021-03-01,0.069677419
2021-04-01,0.069
2021-05-01,0.058064516
2021-06-01,0.078
2021-07-01,0.098064516
2021-08-01,0.092258065
2021-09-01,0.079333333
2021-10-01,0.079032258
2021-11-01,0.079666667
2021-12-01,0.079677419
2022-01-01,0.079354839
2022-02-01,0.08
2022-03-01,0.200967742
2022-04-01,0.33
